WorkOrFranchise,LocationName,Latitude,Longitude,Region,SourceNote
Harry Potter films,Alnwick Castle (flying lessons),55.4158,-1.7059,Northumberland,Widely documented Harry Potter filming location
Harry Potter films,Gloucester Cathedral (corridors),51.8679,-2.2461,Gloucestershire,Cathedral filming — verify visiting rules
Harry Potter films,Lacock Abbey / village,51.4150,-2.1170,Wiltshire,National Trust — HP and period dramas
Harry Potter films,Christ Church Oxford (Great Hall inspiration),51.7500,-1.2577,Oxfordshire,College — access varies by term
Harry Potter films,Leadenhall Market (Diagon Alley area),51.5124,-0.0834,London,Public market — tourist route
Harry Potter films,King's Cross Platform 9¾ area,51.5308,-0.1238,London,Station filming / fan site
Harry Potter films,Glenfinnan Viaduct (Hogwarts Express views),56.8713,-5.4380,Highland,Scotland — Jacobite steam route
Harry Potter films,Freshwater West beach (Shell Cottage vicinity),51.6560,-5.0820,Pembrokeshire,Wales — coastal
Harry Potter films,Millennium Bridge London (Deathly Hallows),51.5108,-0.0984,London,Thames pedestrian bridge — UK filming
Pride and Prejudice (2005),Chatsworth House,53.2272,-1.6110,Derbyshire,Keira Knightley Pemberley exterior
Pride and Prejudice (1995),Lyme Park (exterior Pemberley),53.3040,-2.0500,Cheshire,NT property
Bridgerton (TV),Bath Royal Crescent,51.3860,-2.3660,Somerset,Regency London stand-in
Bridgerton (TV),Ranger's House Greenwich,51.4690,-0.0030,London,Exterior stand-in
The Crown (TV),Lancaster House (interiors),51.5045,-0.1440,London,Stately home filming
The Crown (TV),Wilton House,51.0780,-1.8590,Wiltshire,Multiple interior scenes
Downton Abbey,Highclere Castle,51.1930,-1.3600,Hampshire,Main house exterior
Downton Abbey,Bampton village (Downton village),51.7270,-1.5500,Oxfordshire,Cotswolds streets
Outlander (TV),Doune Castle (Castle Leoch),56.1850,-4.0500,Stirling,Scotland
Outlander (TV),Culross (Cranesmuir),56.0420,-3.6280,Fife,Scotland preserved village
Outlander (TV),Blackness Castle,56.0060,-3.4930,West Lothian,Scotland fortress
James Bond Skyfall,Glen Etive road,56.5700,-5.0200,Highland,Scotland Aston chase
James Bond Skyfall,Vauxhall Bridge vicinity (London),51.4870,-0.1260,London,Action sequence plates
Paddington (film),Paddington Station area,51.5154,-0.1755,London,Establishing shots
Paddington 2,Portobello Road market,51.5170,-0.2050,London,Chase sequence area
Sherlock (BBC),St Bart's Hospital exterior,51.5170,-0.1000,London,221B-adjacent drama beats
Sherlock (BBC),Speedy's Café North Gower Street,51.5230,-0.1580,London,221B exterior stand-in
Doctor Who (BBC),Cardiff Bay / Roald Dahl Plass,51.4640,-3.1630,Cardiff,Wales production base
Game of Thrones (NI),Dark Hedges (Kingsroad),55.1340,-6.3800,Antrim,Northern Ireland avenue
